"","source","target","level_source","level_target"
"1","Activity/event","Social or physical activity; errand; celebration",2,1
"2","Context","Context (negative, self)",2,1
"3","Context","Context (negative, interactional)",2,1
"4","Context","Context (negative, outside)",2,1
"5","Movements (day)","Movement of family member",2,1
"6","Time","Time with children (too little/too much)",2,1
"7","Time","Time with partner",2,1
"8","Time","Time (general)",2,1
"9","Tiredness/rest","Tiredness (parent)",2,1
"10","Tiredness/rest","Rest (parent)",2,1
"11","Tiredness/rest","Tiredness (child)",2,1
"12","Tiredness/rest","Need for rest (parent)",2,1
"13","Tiredness/rest","Lack of sleep/rest (parent)",2,1
"14","Tiredness/rest","Rest (child)",2,1
"15","Tiredness/rest","Energy (child)",2,1
"16","Feelings","Emotion (negative)",2,1
"17","Feelings","Emotion (positive)",2,1
"18","Feelings","Overwhelmed",2,1
"19","Feelings","Future-oriented feelings (positive)",2,1
"20","Feelings","Future-oriented feelings (worry; negative)",2,1
"21","Feelings","Anxiety",2,1
"22","Feelings","Patience (Lacking)",2,1
"23","Feelings","Stress",2,1
"24","Context","Stress",2,1
"25","Feelings","Feeling (negative)",2,1
"26","Evaluations","Evaluation (good times)",2,1
"27","Evaluations","Evaluations (bad times)",2,1
"28","Evaluations","Evaluations (pace of day)",2,1
"29","Context","Sickness",2,1
"30","Context","Shifting rhythms",2,1
"31","Context","Medical/therapist visit",2,1
"32","Context","Context (weather)",2,1
"33","Context","Context (neutral)",2,1
"34","Context","Setting",2,1
"35","Resources","Support",2,1
"36","Resources","Lacking support",2,1
"37","Resources","Support (social/emotional)",2,1
"38","Resources","Lacking resources",2,1
"39","Parenting & parent-child","Parent-child interaction (negative)",2,1
"40","Parenting & parent-child","Child's behavior (perceived negatively)",2,1
"41","Parenting & parent-child","Parenting (difficulties)",2,1
"42","Parenting & parent-child","Child's behavior (perceived positively)",2,1
"43","Parenting & parent-child","Reflecting on children's behavior",2,1
"44","Parenting & parent-child","Parenting (emotion-related)",2,1
"45","Parenting & parent-child","Parent-child interaction (positive)",2,1
"46","Parenting & parent-child","Parenting (striving)",2,1
"47","Identity & reflection","Identity",2,1
"48","Identity & reflection","Identity (parental)",2,1
"49","Identity & reflection","Reflecting/processing",2,1
"50","Childcare & household","Division of childcare tasks",2,1
"51","Childcare & household","Household/childcare task",2,1
"52","Partner-specific","Interaction with partner (negative)",2,1
"53","Partner-specific","Interaction with partner (positive)",2,1
